AID,package name,class token,class name,method token,method name,method parameters
A0000000620101,javacard.framework,0,ISO7816
A0000000620101,javacard.framework,1,PIN,0,check,(byte[];short;byte)
A0000000620101,javacard.framework,1,PIN,1,getTriesRemaining,()
A0000000620101,javacard.framework,1,PIN,2,isValidated,()
A0000000620101,javacard.framework,1,PIN,3,reset,()
A0000000620101,javacard.framework,2,Shareable
A0000000620101,javacard.framework,3,Applet,1,install,(byte[];short;byte)
A0000000620101,javacard.framework,3,Applet,7,process,(javacard.framework.APDU)
A0000000620101,javacard.framework,4,CardException,1,throwIt,(short)
A0000000620101,javacard.framework,5,CardRuntimeException,1,throwIt,(short)
A0000000620101,javacard.framework,6,AID
A0000000620101,javacard.framework,7,ISOException,1,throwIt,(short)
A0000000620101,javacard.framework,8,JCSystem,0,abortTransaction,()
A0000000620101,javacard.framework,8,JCSystem,1,beginTransaction,()
A0000000620101,javacard.framework,8,JCSystem,2,commitTransaction,()
A0000000620101,javacard.framework,8,JCSystem,3,getAID,()
A0000000620101,javacard.framework,8,JCSystem,4,getAppletShareableInterfaceObject,(javacard.framework.AID;byte)
A0000000620101,javacard.framework,8,JCSystem,5,getMaxCommitCapacity,()
A0000000620101,javacard.framework,8,JCSystem,6,getPreviousContextAID,()
A0000000620101,javacard.framework,8,JCSystem,7,getTransactionDepth,()
A0000000620101,javacard.framework,8,JCSystem,8,getUnusedCommitCapacity,()
A0000000620101,javacard.framework,8,JCSystem,9,getVersion,()
A0000000620101,javacard.framework,8,JCSystem,10,isTransient,(java.lang.Object)
A0000000620101,javacard.framework,8,JCSystem,11,lookupAID,(byte[];short;byte)
A0000000620101,javacard.framework,8,JCSystem,12,makeTransientBooleanArray,(short;byte)
A0000000620101,javacard.framework,8,JCSystem,13,makeTransientByteArray,(short;byte)
A0000000620101,javacard.framework,8,JCSystem,14,makeTransientObjectArray,(short;byte)
A0000000620101,javacard.framework,8,JCSystem,15,makeTransientShortArray,(short;byte)
A0000000620101,javacard.framework,9,OwnerPIN
A0000000620101,javacard.framework,10,APDU,0,getInBlockSize,()
A0000000620101,javacard.framework,10,APDU,1,getOutBlockSize,()
A0000000620101,javacard.framework,10,APDU,2,getProtocol,()
A0000000620101,javacard.framework,10,APDU,3,waitExtension,()
A0000000620101,javacard.framework,11,PINException,1,throwIt,(short)
A0000000620101,javacard.framework,12,APDUException,1,throwIt,(short)
A0000000620101,javacard.framework,13,SystemException,1,throwIt,(short)
A0000000620101,javacard.framework,14,TransactionException,1,throwIt,(short)
A0000000620101,javacard.framework,15,UserException,2,throwIt,(short)
A0000000620101,javacard.framework,16,Util,0,arrayCompare,(byte[];short;byte[];short;short)
A0000000620101,javacard.framework,16,Util,1,arrayCopy,(byte[];short;byte[];short;short)
A0000000620101,javacard.framework,16,Util,2,arrayCopyNonAtomic,(byte[];short;byte[];short;short)
