0,CAP loaded,FF 9000
1,CAP loaded,03 9000
2,CAP loaded,03 9000
3,CAP loaded,6F00
4,CAP loaded,6F00
5,CAP loaded,6F00
6,CAP loaded,6F00
7,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
8,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
9,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
10,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
11,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
12,CAP loaded,6F00
13,CAP loaded,SCARD_E_NOT_TRANSACTED
14,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
15,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
16,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
17,CAP loaded,6F00
18,CAP loaded,6F00
19,CAP loaded,SCARD_E_NOT_TRANSACTED
20,CAP loaded,SCARD_E_NOT_TRANSACTED
21,CAP loaded,3CC8
22,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
23,CAP loaded,6F00
24,CAP loaded,6F00
25,CAP loaded,SCARD_E_NOT_TRANSACTED
26,CAP loaded,6F00
27,CAP loaded,6F00
28,CAP loaded,SCARD_E_NOT_TRANSACTED
29,CAP loaded,SCARD_E_NOT_TRANSACTED
30,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
31,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
32,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
33,CAP loaded,6F00
34,CAP loaded,SCARD_E_NOT_TRANSACTED
35,CAP loaded,SCARD_E_NOT_TRANSACTED
36,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
37,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
38,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
39,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
40,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
41,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
42,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
43,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
44,CAP loaded,6F00
45,CAP loaded,SCARD_E_NOT_TRANSACTED
46,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
47,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
48,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
49,CAP loaded,6F00
50,CAP loaded,SCARD_E_NOT_TRANSACTED
51,CAP loaded,SCARD_E_NOT_TRANSACTED
52,CAP loaded,6985
53,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
54,CAP loaded,6F00
55,CAP loaded,6F00
56,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
57,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
58,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
59,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
60,CAP loaded,SCARD_E_NOT_TRANSACTED
61,CAP loaded,SCARD_E_NOT_TRANSACTED
62,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
63,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
64,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
65,CAP loaded,6F00
66,CAP loaded,SCARD_E_NOT_TRANSACTED
67,CAP loaded,SCARD_E_NOT_TRANSACTED
68,CAP loaded,6F00
69,CAP loaded,6F00
70,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
71,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
72,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
73,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
74,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
75,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
76,CAP loaded,6F00
77,CAP loaded,SCARD_E_NOT_TRANSACTED
78,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
79,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
80,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
81,CAP loaded,6F00
82,CAP loaded,SCARD_E_NOT_TRANSACTED
83,CAP loaded,6F00
84,CAP loaded,6F00
85,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
86,CAP loaded,SCARD_E_NOT_TRANSACTED
87,CAP loaded,6F00
88,CAP loaded,6F00
89,CAP loaded,6F00
90,CAP loaded,6F00
91,CAP loaded,6F00
92,CAP loaded,6F00
93,CAP loaded,6F00
94,CAP loaded,6F00
95,CAP loaded,6F00
96,CAP loaded,6F00
97,CAP loaded,6F00
98,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
99,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
100,CAP loaded,SCARD_E_NOT_TRANSACTED
101,CAP loaded,SCARD_E_NOT_TRANSACTED
102,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
103,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
104,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
105,CAP loaded,6F00
106,CAP loaded,SCARD_E_NOT_TRANSACTED
107,CAP loaded,6F00
108,CAP loaded,6F00
109,CAP loaded,SCARD_E_NOT_TRANSACTED
110,CAP loaded,SCARD_E_NOT_TRANSACTED
111,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
112,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
113,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
114,CAP loaded,SCARD_E_NOT_TRANSACTED
115,CAP loaded,6F00
116,CAP loaded,6F00
117,CAP loaded,6F00
118,CAP loaded,6A81
119,CAP loaded,6F00
120,CAP loaded,6F00
121,CAP loaded,6F00
122,CAP loaded,6F00
123,CAP loaded,6F00
124,CAP loaded,6F00
125,CAP loaded,SCARD_E_NOT_TRANSACTED
126,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
127,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
128,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
129,CAP loaded,SCARD_E_NOT_TRANSACTED
