package name,class name,method name,method signature
javacardx.framework.nio,ByteBuffer,wrap,(byte[];int;int)
javacardx.framework.nio,ByteBuffer,wrap,(byte[])
javacardx.framework.nio,ByteBuffer,isDirect,()
javacardx.framework.nio,ByteBuffer,asReadOnlyBuffer,()
javacardx.framework.nio,ByteBuffer,clear,()
javacardx.framework.nio,ByteBuffer,remaining,()
javacardx.framework.nio,ByteBuffer,flip,()
javacardx.framework.nio,ByteBuffer,limit,()
javacardx.framework.nio,ByteBuffer,limit,(int)
javacardx.framework.nio,ByteBuffer,putShort,(short)
javacardx.framework.nio,ByteBuffer,putShort,(int;short)
javacardx.framework.nio,ByteBuffer,allocateDirect,(int)
javacardx.framework.nio,ByteBuffer,put,(byte[];int;int)
javacardx.framework.nio,ByteBuffer,put,(javacardx.framework.nio.ByteBuffer)
javacardx.framework.nio,ByteBuffer,put,(int;byte)
javacardx.framework.nio,ByteBuffer,put,(byte)
javacardx.framework.nio,ByteBuffer,put,(byte[])
javacardx.framework.nio,ByteBuffer,order,()
javacardx.framework.nio,ByteBuffer,order,(javacardx.framework.nio.ByteOrder)
javacardx.framework.nio,ByteBuffer,capacity,()
javacardx.framework.nio,ByteBuffer,get,()
javacardx.framework.nio,ByteBuffer,get,(int)
javacardx.framework.nio,ByteBuffer,get,(byte[])
javacardx.framework.nio,ByteBuffer,get,(byte[];int;int)
javacardx.framework.nio,ByteBuffer,slice,()
javacardx.framework.nio,ByteBuffer,position,()
javacardx.framework.nio,ByteBuffer,position,(int)
javacardx.framework.nio,ByteBuffer,compact,()
javacardx.framework.nio,ByteBuffer,array,()
javacardx.framework.nio,ByteBuffer,getShort,()
javacardx.framework.nio,ByteBuffer,getShort,(int)
javacardx.framework.nio,ByteBuffer,compareTo,(javacardx.framework.nio.ByteBuffer)
javacardx.framework.nio,ByteBuffer,arrayOffset,()
javacardx.framework.nio,ByteBuffer,rewind,()
javacardx.framework.nio,ByteBuffer,getInt,()
javacardx.framework.nio,ByteBuffer,getInt,(int)
javacardx.framework.nio,ByteBuffer,hasArray,()
javacardx.framework.nio,ByteBuffer,hasRemaining,()
javacardx.framework.nio,ByteBuffer,isReadOnly,()
javacardx.framework.nio,ByteBuffer,putInt,(int)
javacardx.framework.nio,ByteBuffer,putInt,(int;int)
javacardx.framework.nio,Buffer,hasArray,()
javacardx.framework.nio,Buffer,hasRemaining,()
javacardx.framework.nio,Buffer,isDirect,()
javacardx.framework.nio,Buffer,arrayOffset,()
javacardx.framework.nio,Buffer,rewind,()
javacardx.framework.nio,Buffer,isReadOnly,()
javacardx.framework.nio,Buffer,capacity,()
javacardx.framework.nio,Buffer,slice,()
javacardx.framework.nio,Buffer,clear,()
javacardx.framework.nio,Buffer,position,()
javacardx.framework.nio,Buffer,position,(int)
javacardx.framework.nio,Buffer,limit,()
javacardx.framework.nio,Buffer,limit,(int)
javacardx.framework.nio,Buffer,remaining,()
javacardx.framework.nio,Buffer,flip,()
javacardx.framework.nio,Buffer,array,()
javacardx.framework.tlv,BERTLV,getLength,()
javacardx.framework.tlv,BERTLV,getLength,(byte[];short)
javacardx.framework.tlv,BERTLV,init,(byte[];short;short)
javacardx.framework.tlv,BERTLV,getTag,()
javacardx.framework.tlv,BERTLV,getTag,(byte[];short;byte[];short)
javacardx.framework.tlv,BERTLV,toBytes,(byte[];short)
javacardx.framework.tlv,BERTLV,getInstance,(byte[];short;short)
javacardx.framework.tlv,BERTLV,size,()
javacardx.framework.tlv,BERTLV,verifyFormat,(byte[];short;short)
javacardx.framework.tlv,PrimitiveBERTag,tagNumber,()
javacardx.framework.tlv,PrimitiveBERTag,tagNumber,(byte[];short)
javacardx.framework.tlv,PrimitiveBERTag,tagClass,()
