0, CAP loaded 
1, CAP loaded 
2, CAP loaded 
3, CAP loaded 
4, CAP loaded INSTALL [for install and make selectable] failed: 0x6985 (Conditions of use not satisfied) 
5, CAP loaded INSTALL [for install and make selectable] failed: 0x6985 (Conditions of use not satisfied) 
6, CAP loaded 
7," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{18b55df5}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
8," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{834e7dc}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
9," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{2a637de7}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
10, CAP loaded INSTALL [for install and make selectable] failed: 0x6985 (Conditions of use not satisfied) 
11," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{51232a1a}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
12," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{1988572e}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
13," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{86c0489}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
14, CAP loaded INSTALL [for install and make selectable] failed: 0x6985 (Conditions of use not satisfied) 
15, CAP loaded 
16," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{3ba2fb18}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
17," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{49858995}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
18, CAP loaded INSTALL [for install and make selectable] failed: 0x6985 (Conditions of use not satisfied) 
19, CAP loaded 
20," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{1510ca6}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
21," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{b4c8ff8}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
22, CAP loaded INSTALL [for install and make selectable] failed: 0x6985 (Conditions of use not satisfied) 
23, CAP loaded INSTALL [for install and make selectable] failed: 0x6985 (Conditions of use not satisfied) 
24," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{1aae849e}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
25," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{135dcd3c}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
26," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{1351f28}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
27, CAP loaded INSTALL [for install and make selectable] failed: 0x6985 (Conditions of use not satisfied) 
28," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{25329e82}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
29, CAP loaded INSTALL [for install and make selectable] failed: 0x6985 (Conditions of use not satisfied) 
30, CAP loaded INSTALL [for install and make selectable] failed: 0x6985 (Conditions of use not satisfied) 
31, CAP loaded INSTALL [for install and make selectable] failed: 0x6985 (Conditions of use not satisfied) 
32, CAP loaded INSTALL [for install and make selectable] failed: 0x6985 (Conditions of use not satisfied) 
33, CAP loaded INSTALL [for install and make selectable] failed: 0x6985 (Conditions of use not satisfied) 
34, CAP loaded INSTALL [for install and make selectable] failed: 0x6985 (Conditions of use not satisfied) 
35," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{6686772b}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
36, CAP loaded INSTALL [for install and make selectable] failed: 0x6985 (Conditions of use not satisfied) 
37," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{21bb79c}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
38," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{12084a0f}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
39," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{57eb66a3}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
40," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{4be6a00c}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
