0, CAP loaded 
1, CAP loaded 
2, CAP loaded 
3, CAP loaded 
4," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{371eca2a}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
5, CAP loaded 
6, CAP loaded 
7, CAP loaded 
8, CAP loaded 
9, CAP loaded 
10, CAP loaded 
11," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{62c1a63a}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
12, CAP loaded INSTALL [for install and make selectable] failed: 0x6985 (Conditions of use not satisfied) 
13, CAP loaded INSTALL [for install and make selectable] failed: 0x6985 (Conditions of use not satisfied) 
14, CAP loaded INSTALL [for install and make selectable] failed: 0x6985 (Conditions of use not satisfied) 
15, CAP loaded INSTALL [for install and make selectable] failed: 0x6985 (Conditions of use not satisfied) 
16, CAP loaded INSTALL [for install and make selectable] failed: 0x6985 (Conditions of use not satisfied) 
17, CAP loaded 
18, CAP loaded 
19, CAP loaded 
20," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{7d402058}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
21," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{7e8f17d8}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
22, CAP loaded INSTALL [for install and make selectable] failed: 0x6985 (Conditions of use not satisfied) 
23," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{3cb9d82e}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
24," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{2fbf7e6b}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
25," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{13b12e66}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
26," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{7d5ac6f5}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
27, CAP loaded INSTALL [for install and make selectable] failed: 0x6985 (Conditions of use not satisfied) 
28, CAP loaded 
29, CAP loaded 
30, CAP loaded 
31, CAP loaded 
32, CAP loaded INSTALL [for install and make selectable] failed: 0x6985 (Conditions of use not satisfied) 
33, CAP loaded INSTALL [for install and make selectable] failed: 0x6985 (Conditions of use not satisfied) 
34, CAP loaded 
35," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{537e51d2}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
36," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{4bdff3f0}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
37," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{620bc5f}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
38, CAP loaded INSTALL [for install and make selectable] failed: 0x6985 (Conditions of use not satisfied) 
39," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{6dae70c2}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
40," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{5c1944da}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
41," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{40234c0d}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
42, CAP loaded INSTALL [for install and make selectable] failed: 0x6985 (Conditions of use not satisfied) 
43, CAP loaded 
44," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{25dc1ec9}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
45," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{36b3dd13}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
46, CAP loaded INSTALL [for install and make selectable] failed: 0x6985 (Conditions of use not satisfied) 
47, CAP loaded 
48," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{4d2887b}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
49," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{40ca88b6}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
50, CAP loaded INSTALL [for install and make selectable] failed: 0x6985 (Conditions of use not satisfied) 
