0," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{30a0cab5}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
1," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{4b750818}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
2," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{40ab2ad7}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
3, CAP loaded 
4," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{76bb7d4a}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
5, CAP loaded 
6, CAP loaded 
7, CAP loaded 
8, CAP loaded 
9, CAP loaded 
10, CAP loaded INSTALL [for install and make selectable] failed: 0x6A80 (Wrong data/incorrect values in data) 
11," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{536b74c5}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
12," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{5657cd07}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
13," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{f805d27}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
14," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{4dfc3c69}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
15," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{50a098d7}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
16, CAP loaded INSTALL [for install and make selectable] failed: 0x6A80 (Wrong data/incorrect values in data) 
17, CAP loaded 
18," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{7bc80ae7}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
19, CAP loaded 
20," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{5aa7ce49}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
21, CAP loaded INSTALL [for install and make selectable] failed: 0x6A84 (Not enough memory space) 
22," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{75a159fe}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
23," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{4bc78b73}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
24, CAP loaded 
25, CAP loaded 
26, CAP loaded 
27," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{2c07be96}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
28, CAP loaded INSTALL [for install and make selectable] failed: 0x6A80 (Wrong data/incorrect values in data) 
29, CAP loaded INSTALL [for install and make selectable] failed: 0x6A80 (Wrong data/incorrect values in data) 
30, CAP loaded 
31," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{5fbe9d60}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
32," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{395b4667}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
33," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{2975c061}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
34," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{12ccad9e}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
35," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{364bb0ee}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
36," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{c0b7a73}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
37," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{77d3407e}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
38," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{3b8faa}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
39," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{2683e190}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
40," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{388008cf}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
41," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{66accbcb}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
42," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{4424260d}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
43," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{d019dc9}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
