modification,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
AID 1. byte,569419007,547777052,522773585,541768807,545456053,542905208,544274084,528442332,617106350,559829117,536689272,582091655,620492026,568056993,540273216,554234495,558639349,547929480,567759681,539119280,556531418,535046210,539862308,539355521,568674152,541714303,539442586,544637894,534648832,522879365,537596686,554603788,529286807,552006791,553535318,564631258,601813895,525466561,534251379,550983881,538239772,529844893,528031573,553242411,539493477,539500434,532412202,534402628,514195668,547674672
AID 2. byte,540211784,539439343,541050534,536136814,592699392,561375120,535743785,537996729,535646264,571262853,539450329,544802479,542498124,549214055,576967776,560147010,527017003,633295114,582373656,554698648,527340333,543719529,524478003,532484021,543020432,533225441,537691461,542442932,547284964,540406422,562975786,533569411,574602302,561437294,547948355,553681785,535311432,527645851,536385376,542197711,547108645,543352162,539293677,532743339,543682895,537600649,547235107,531031603,547897605,540827352
AID 3. byte,532196619,557468003,548373622,527588254,536808319,593562590,675251865,533991405,533458597,561413168,536881838,533210110,537398324,568746461,594894657,681398470,577212889,539351815,549611882,551537566,545344288,535957343,548816277,590811174,651043109,700785745,617159626,647370020,571460299,533480203,557837219,537224863,543904667,544814100,581109289,553860005,575759158,551174310,545627727,538712631,548689997,535572210,561479012,556223720,570807148,535045969,535680880,547202394,530931621,585341749
AID 4. byte,592791387,530535416,543271078,538795154,562324085,554849293,530518969,536964013,533158374,539204158,539260216,553391938,533483127,526701115,559638876,557761777,538390126,535092862,547522806,546420342,529110711,530208522,534744815,527018666,578624284,538723610,542659910,534021436,543284988,544295338,549964964,553542851,541856343,552863749,541725500,523533111,573532350,658283349,543917789,549686432,536200647,549485383,545892221,598482078,536654696,542919863,563516881,534251271,552589465,550365488
AID 5. byte,542864128,533078192,537794356,548613708,563032357,569369440,575062259,544602473,541513343,542187399,527881544,602369095,556144442,545239294,559026423,552473702,534813390,539538043,535518852,538645471,537834302,565263624,534331438,541943339,533582025,548350349,547880227,544930307,565135565,529589444,530312936,545925889,538087885,545052459,550557618,534732333,550071958,580920992,535077172,547325404,538510514,543982330,537206206,540415469,536869732,540081794,560748791,545798311,542454792,534922027
AID 6. byte,551006756,539132943,536835325,562064435,544361306,544444275,542495867,550906661,608198315,583166462,543998924,533733000,563074008,566116796,538804279,562084111,538712542,545763793,537248068,552528107,555932440,552321464,555672399,530435296,551441348,562536468,525805405,529778335,533545317,549296801,534938476,549104114,559714770,530754297,583698971,537069453,539629567,520842774,528293556,553920033,536434697,524233752,549180752,553564658,560171892,551775185,538185451,546248679,531096748,551291642
AID 7. byte,545146190,541592916,543748858,540673948,550578658,526226332,537969935,546346157,546740872,538759438,528529287,553696747,528501285,550455182,558157554,572120225,532587566,538368557,544099484,548437419,555058957,559121224,548229258,540971938,536240498,553037467,535324828,546261771,556798960,533769849,536438371,552321544,546759277,546086852,551549849,567986289,547628543,537961811,547252581,543287719,555288684,563460631,542092742,548933821,543253873,583145496,564264832,553746126,547236526,546214509
Major version,539322427,544535038,553639090,533705228,546864428,544517123,551338677,547435068,537330755,549034935,548643833,551024511,552666691,554196904,559637578,545384174,544657488,533023406,528120923,537283121,557001924,539638989,538504622,546350890,539785558,546361323,537885953,562825617,549202365,549478368,526507469,553158454,543526325,545879469,535777820,550177784,537361901,534298300,557652678,533190974,533405416,545190445,552111401,537525426,534490302,545311186,549682951,544780701,538060125,587304320
Minor version,582050904,536863159,597477137,614914004,557652088,700671257,539497932,563917325,551611285,534898732,553113280,545606255,540992908,523755076,534608059,536812508,544258536,585588074,543544394,566050146,542610951,535836996,552047035,533167798,543127940,568300018,548113873,530391261,551303615,520624858,533715789,563424610,535562221,558377709,555355979,533828981,539055012,583336887,604558870,535355191,536620735,546439945,534136859,625042293,546520712,549153572,595292803,555859761,556205274,537928077
Unchanged,1106404303,1098567139,1101798446,1095500819,1106928278,1106465198,1108251742,1102261899,1105065541,1111764460,1108510893,1104395085,1105131245,1116290870,1106490791,1101786984,1121691787,1090123216,1105386227,1108721388,1105215031,1097664723,1105369919,1106821409,1106647886,1115929110,1116180682,1098482454,1092413527,1099744607,1091248609,1091682123,1121721001,1097304669,1111684698,1112383703,1106256876,1103663045,1100051301,1101603570,1106549729,1116110541,1104668740,1108905873,1110029476,1113174752,1111275733,1103299482,1095500300,1107500293
