modification,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
AID 1. byte,605025800,546408010,528019607,557013188,542865020,543926428,538498925,550422544,549174541,520925364,542371062,568016100,572786726,553509151,535847743,562773444,531546977,529411125,589532339,525295355,532452323,560404290,720767173,543881876,547001197,603155281,549502112,560698794,547662410,563487307,519096406,546858745,554416155,547613507,575058297,554038520,581660079,559380546,554598560,548167630,553091088,551422613,545781928,531634844,539317148,527600660,543325022,531720472,549156728,575893208
AID 2. byte,563552269,569616293,561051099,572534010,569971544,533473491,552964652,552142961,561077556,560716192,562295121,565848721,552260980,564497746,556379111,536231367,540797686,568678232,577069063,558786821,545135205,562718361,545217685,562919207,533686436,560747688,596250261,533148558,571506115,640917719,578424733,557859382,566341237,602002395,635501444,600617256,585545713,658471264,678492957,678693508,599992586,560699583,597829608,580977971,617550603,574158287,556879539,650211545,604986799,566417788
AID 3. byte,638778236,579720089,564683860,601896859,614159129,606143701,577822396,608151074,602904763,600422562,576739211,580073801,592521241,624554177,650803574,585516240,645164788,635222199,605858057,653432833,632769284,603546222,630393528,627665077,612799385,605409328,579145682,608372233,636058895,643547560,592123532,565602701,577138374,553141658,546828784,538643071,553585434,578036252,565460347,564825398,564190904,614525610,627160077,606376988,572496575,561822170,646397191,620465888,567276347,645282534
AID 4. byte,636655910,630796771,588813360,598714194,632578939,612832733,561862824,610580070,598327108,569361796,566297909,643352992,626940542,555157112,605346258,610364255,642659159,622859373,603480706,614615278,616912475,634585055,658215352,622180337,579698258,567836757,557435605,571711773,563594916,558715621,557069913,540532380,564033902,556729573,567456313,548387783,556232926,565695607,551909492,540621364,534144971,531469161,527452864,548163298,533524143,523846324,535117110,556408395,545012790,556587457
AID 5. byte,558677711,562311910,557486474,550606310,569555549,571604702,558230326,545051621,535273875,527951099,533052270,563886706,531276416,535319136,540715153,542043789,544167460,536453061,535812032,545591341,537724572,528526905,532816667,534134578,552272622,546793135,596365696,546141991,532174680,535961526,527410935,522880007,558409276,541226382,546866081,551122654,539277138,560219813,565548501,550002552,538562447,563199155,574037914,553168048,544413004,538315123,539103482,539040809,539930627,554679250
AID 6. byte,537702282,549570192,545577582,561579456,537312852,530017146,553685711,553805834,534645310,546098803,546443895,554986613,536941921,534755538,527411103,562256470,535578172,553022386,546833010,786566129,645646750,564817559,560456786,542051538,547964385,539520694,538784092,575987210,537208153,538346619,522123967,542037989,540014564,542213165,545928047,539596219,554101321,586221169,540751754,532164572,563608489,542370481,525183201,531829447,551724921,542842135,537134808,545059878,556522544,544236550
AID 7. byte,540002282,539243318,550664058,558447821,549547311,557727566,541209752,538488498,544627316,530436788,551080351,531155858,524250668,544556631,572605992,564011852,534483233,554400787,545325376,555068863,533121189,531983971,545821363,541806045,551313009,537195740,537552103,526649243,536263258,519000118,529675313,556626871,542128574,542087994,544097687,538509782,551283439,577326503,547855636,537096503,555258993,547462656,564512921,564210250,541421913,534160590,539073862,553029995,547001484,627847571
Major version,607290889,578896215,553586224,576129245,567234514,576803490,545704747,533941957,599444417,668224835,588032955,600266262,613280214,596884680,561579264,610972447,566250595,618461034,616423013,620781290,592662583,582748817,548268597,561620755,535033692,540683698,541256934,539760809,538264371,545930674,550091345,540350836,546626958,558382322,546725439,543561502,553725389,556092799,581851967,562426181,573892243,554219022,682816684,744531562,745437025,619860187,613279263,548413450,557028261,686268475
Minor version,546387206,541096935,542721601,525235512,529968321,530289457,560939446,536487238,541103303,583766964,534058491,541638175,544206401,566381773,521708246,549128726,549800625,552950684,538406614,547912517,555554453,540244632,556063528,543696700,534194319,543394865,533485851,545209613,542691171,538527605,593883235,606622362,528472703,566253810,537660740,554442424,563495766,555677016,550089978,544267285,526421848,531060344,544278299,537498661,548108198,535319129,551458587,539716093,551255431,658600506
Unchanged,1182527304,1202665066,1100993024,1102214918,1103316813,1101055966,1114975197,1129686474,1118524421,1110143982,1131567983,1116576880,1104099682,1114685438,1108348791,1111331106,1096593268,1108713200,1115466204,1109485495,1140731359,1108477656,1126613834,1093779509,1114259032,1093629565,1131582784,1104215951,1111954195,1104507626,1117518314,1106855766,1169519393,1119059954,1106780048,1105200809,1108765120,1120507540,1161967699,1132754189,1114062322,1111193944,1194489883,1117811875,1089584074,1091614424,1098887703,1164683921,1118905646,1112012605
