modification,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
AID 1. byte,581632505,542134961,525362281,538940994,549762735,514277362,556482212,794579455,532046840,575248119,558248112,546415966,529743409,550395963,527365322,533685237,537560580,536806972,522515955,541596414,533844245,527977521,538627021,570899517,550048739,539993520,574046809,565677536,566985578,577251195,544639699,541544654,558254116,560579946,545391847,535480007,540222734,543682637,572976183,594983954,542879301,550504099,538448548,541464609,531507039,548168067,530197132,545633300,539493446,543295664
AID 2. byte,539097303,570666523,526893669,573937639,536658522,533022479,573130822,551599083,546642305,545790312,556286068,566905734,560625680,543350592,548052664,545394308,543194472,542200858,534544241,551741146,532875933,565278813,544509616,526742333,532025663,548313901,537546294,549504841,556767487,544518432,529816452,545797673,554465329,535350034,531145896,550991481,537024707,544331956,523738732,562585839,539249603,534713234,568941138,569489311,525185981,596121830,612332762,578522094,547804806,567448886
AID 3. byte,545230183,550523948,562940741,636312645,534895217,573662387,540478909,564888153,540660298,542230570,562311060,550227994,550924151,550603299,541621068,552062532,546999805,536611650,538523904,543266622,556138492,562035726,571170735,559775129,528892261,545768933,538864776,548102258,556466937,541535069,580768322,543598836,538607869,564800518,540143521,553711113,562405735,540349558,557908663,553341445,542122222,560824322,571383649,564090900,588513383,544638424,557930976,610312375,552433522,561991262
AID 4. byte,558431772,534829650,522989909,550714986,540545258,573262786,572690166,559010372,554476496,533552305,534722340,536901875,555235533,537356128,530605123,535491725,547881608,539802601,545920939,522225740,548897909,547895323,534511312,540543243,528787018,542369260,555568836,556766078,580142255,540271239,524576614,533700830,527091242,551359857,538674849,546895950,548548394,540833187,534951303,530862989,567318250,535199176,529141919,538262062,552828006,562234176,555236968,552010100,533652492,542000972
AID 5. byte,539424691,542364036,542886572,540957421,541208297,549974684,546218560,540759406,556617427,563947981,550503920,559424096,549709926,538227537,519736283,533865524,532758224,534671856,531186794,546618953,534148149,555681252,542569189,551532175,517151568,527923769,525447562,548578466,543651034,549186205,539060090,537660186,535830770,534785028,531455464,574716954,559881526,542120070,537958995,550110800,532747669,551545478,541995438,557146326,545274726,531686179,550147161,554329501,536220250,555020734
AID 6. byte,555884324,650234661,632579404,534576875,546308793,534247099,557457553,551152053,593833370,557839060,555240558,554630265,580105153,560209721,529609723,553672740,554778203,786865183,540366259,578359665,549175122,543824787,546298423,535014526,553354088,536501212,533053551,531035850,542077467,554279623,549526351,539123991,547668538,556861912,597118542,532674904,523179043,555535792,551739089,526383900,540441903,533538163,528103307,540180091,544098447,524533331,535483612,529567225,536554155,554756083
AID 7. byte,542697386,533046382,542981581,553344638,549670928,551514069,528297726,537793895,537498857,545641483,559606590,550464083,553740727,539825616,559192822,554337349,564426955,561956405,570701769,557865330,542429970,569679812,553418284,547641986,562562562,537325701,596984695,548254751,549237568,562795164,567918075,598562869,628759293,643328421,580640441,574581029,634305111,648312886,613302986,615144989,617197487,643051901,643792457,576780608,583910883,594375134,562074341,542885401,542991413,528741232
Major version,547011616,540324919,531740296,536613487,541693016,548705778,532130324,530527257,554084608,556322461,570102837,579284236,668948581,646509039,612218540,643441483,640131864,592457153,609905775,560565831,556230722,551441466,551427932,526307956,562059630,577548299,575764404,593717627,571700256,581262492,594899372,586968252,607024408,539312034,537568647,606468857,576511416,585533871,639330551,574837006,556621947,546442051,566990226,605320303,591686235,592493737,626173140,612990948,621826893,574456800
Minor version,569347420,625311728,595375181,594192033,605965265,612782856,569727842,599732012,559514558,600840271,568024432,630999927,637775177,630505079,637729289,619905508,612635963,550548074,613849554,616069401,621974325,561272143,561765823,545427796,560086845,525467819,540795426,533940977,536272939,542898858,553225878,556764140,568892958,541583748,557076005,559718708,556263926,615284551,599696622,596649324,620217336,580290653,557034602,539885790,573945449,530560306,546204971,534390790,519607211,536108965
Unchanged,1098642360,1114517744,1097220937,1115325419,1117765398,1084334923,1129656896,1125115145,1116572489,1136020370,1145516142,1131010512,1114089977,1123586447,1131164330,1105173133,1119968177,1133004090,1117541775,1112253823,1126727390,1119772656,1105398624,1149878474,1146562634,1109126530,1120483591,1147670649,1114880645,1113202998,1112267497,1106327275,1099033141,1127728609,1113230147,1129876696,1103643384,1114889238,1112279972,1117973045,1101426103,1107255714,1095396263,1104013521,1116727075,1096897717,1099488899,1095296569,1108982067,1112056966
