modification,1,2,3,4,5,6,7,8,9,10
AID 1. byte,1914683,1915264,1915465,1915287,1914704,1914335,1915549,1915606,1914721,1914499
AID 2. byte,1914506,1914171,1914493,1914556,1915003,1914432,1915187,1914724,1914766,1914607
AID 3. byte,1914181,1914212,1914553,1914193,1914732,1914413,1915744,1915642,1914801,1914707
AID 4. byte,1914597,1914667,1915087,1914843,1914543,1914563,1914435,1914405,1914857,1914910
AID 5. byte,1914428,1915100,1915187,1914338,1914545,1914475,1914530,1914452,1915468,1914507
AID 6. byte,1914742,1914451,1914829,1914821,1915096,1914652,1914742,1914841,1914827,1914759
AID 7. byte,1914216,1914726,1915210,1914558,1914938,1914973,1914462,1914680,1914649,1914967
AID 8. byte,1914521,1914915,1915163,1915062,1915185,1914319,1914705,1914807,1915391,1914517
AID 9. byte,1914807,1914515,1914844,1915072,1915258,1914482,1914719,1914753,1915096,1915137
Major version,1899879,1899732,1900046,1900087,1900563,1899977,1900832,1900159,1900770,1900475
Minor version,1900711,1900118,1900498,1900037,1900565,1900231,1900537,1900620,1900743,1900578
