AID,package name,class token,class name,class access flags,method/field,token,name,access flags,signature/type,value
A0000000620101,javacard.framework,18,AppletEvent,public abstract interface,method,0,uninstall,public abstract,void()
A0000000620101,javacard.framework,0,ISO7816,public abstract interface,field,255,SW_NO_ERROR,static public final,short,-28672
A0000000620101,javacard.framework,0,ISO7816,public abstract interface,field,255,SW_BYTES_REMAINING_00,static public final,short,24832
A0000000620101,javacard.framework,0,ISO7816,public abstract interface,field,255,SW_WRONG_LENGTH,static public final,short,26368
A0000000620101,javacard.framework,0,ISO7816,public abstract interface,field,255,SW_SECURITY_STATUS_NOT_SATISFIED,static public final,short,27010
A0000000620101,javacard.framework,0,ISO7816,public abstract interface,field,255,SW_FILE_INVALID,static public final,short,27011
A0000000620101,javacard.framework,0,ISO7816,public abstract interface,field,255,SW_DATA_INVALID,static public final,short,27012
A0000000620101,javacard.framework,0,ISO7816,public abstract interface,field,255,SW_CONDITIONS_NOT_SATISFIED,static public final,short,27013
A0000000620101,javacard.framework,0,ISO7816,public abstract interface,field,255,SW_COMMAND_NOT_ALLOWED,static public final,short,27014
A0000000620101,javacard.framework,0,ISO7816,public abstract interface,field,255,SW_APPLET_SELECT_FAILED,static public final,short,27033
A0000000620101,javacard.framework,0,ISO7816,public abstract interface,field,255,SW_WRONG_DATA,static public final,short,27264
A0000000620101,javacard.framework,0,ISO7816,public abstract interface,field,255,SW_FUNC_NOT_SUPPORTED,static public final,short,27265
A0000000620101,javacard.framework,0,ISO7816,public abstract interface,field,255,SW_FILE_NOT_FOUND,static public final,short,27266
A0000000620101,javacard.framework,0,ISO7816,public abstract interface,field,255,SW_RECORD_NOT_FOUND,static public final,short,27267
A0000000620101,javacard.framework,0,ISO7816,public abstract interface,field,255,SW_INCORRECT_P1P2,static public final,short,27270
A0000000620101,javacard.framework,0,ISO7816,public abstract interface,field,255,SW_WRONG_P1P2,static public final,short,27392
A0000000620101,javacard.framework,0,ISO7816,public abstract interface,field,255,SW_CORRECT_LENGTH_00,static public final,short,27648
A0000000620101,javacard.framework,0,ISO7816,public abstract interface,field,255,SW_INS_NOT_SUPPORTED,static public final,short,27904
A0000000620101,javacard.framework,0,ISO7816,public abstract interface,field,255,SW_CLA_NOT_SUPPORTED,static public final,short,28160
A0000000620101,javacard.framework,0,ISO7816,public abstract interface,field,255,SW_UNKNOWN,static public final,short,28416
A0000000620101,javacard.framework,0,ISO7816,public abstract interface,field,255,SW_FILE_FULL,static public final,short,27268
A0000000620101,javacard.framework,0,ISO7816,public abstract interface,field,255,SW_LOGICAL_CHANNEL_NOT_SUPPORTED,static public final,short,26753
A0000000620101,javacard.framework,0,ISO7816,public abstract interface,field,255,SW_SECURE_MESSAGING_NOT_SUPPORTED,static public final,short,26754
A0000000620101,javacard.framework,0,ISO7816,public abstract interface,field,255,SW_WARNING_STATE_UNCHANGED,static public final,short,25088
A0000000620101,javacard.framework,0,ISO7816,public abstract interface,field,255,SW_LAST_COMMAND_EXPECTED,static public final,short,26755
A0000000620101,javacard.framework,0,ISO7816,public abstract interface,field,255,SW_COMMAND_CHAINING_NOT_SUPPORTED,static public final,short,26756
A0000000620101,javacard.framework,0,ISO7816,public abstract interface,field,255,OFFSET_CLA,static public final,byte,0
A0000000620101,javacard.framework,0,ISO7816,public abstract interface,field,255,OFFSET_INS,static public final,byte,1
A0000000620101,javacard.framework,0,ISO7816,public abstract interface,field,255,OFFSET_P1,static public final,byte,2
A0000000620101,javacard.framework,0,ISO7816,public abstract interface,field,255,OFFSET_P2,static public final,byte,3
A0000000620101,javacard.framework,0,ISO7816,public abstract interface,field,255,OFFSET_LC,static public final,byte,4
A0000000620101,javacard.framework,0,ISO7816,public abstract interface,field,255,OFFSET_CDATA,static public final,byte,5
A0000000620101,javacard.framework,0,ISO7816,public abstract interface,field,255,OFFSET_EXT_CDATA,static public final,byte,7
A0000000620101,javacard.framework,0,ISO7816,public abstract interface,field,255,CLA_ISO7816,static public final,byte,0
A0000000620101,javacard.framework,0,ISO7816,public abstract interface,field,255,INS_SELECT,static public final,byte,-92
A0000000620101,javacard.framework,0,ISO7816,public abstract interface,field,255,INS_EXTERNAL_AUTHENTICATE,static public final,byte,-126
A0000000620101,javacard.framework,17,MultiSelectable,public abstract interface,method,0,select,public abstract,boolean(boolean)
A0000000620101,javacard.framework,17,MultiSelectable,public abstract interface,method,1,deselect,public abstract,void(boolean)
A0000000620101,javacard.framework,1,PIN,public abstract interface,method,0,check,public abstract,boolean(byte[];short;byte)
A0000000620101,javacard.framework,1,PIN,public abstract interface,method,1,getTriesRemaining,public abstract,byte()
A0000000620101,javacard.framework,1,PIN,public abstract interface,method,2,isValidated,public abstract,boolean()
A0000000620101,javacard.framework,1,PIN,public abstract interface,method,3,reset,public abstract,void()
A0000000620101,javacard.framework,2,Shareable,public abstract interface
A0000000620101,javacard.framework,4,CardException,public,method,0,<init>,public,void(short)
A0000000620101,javacard.framework,4,CardException,public,method,1,throwIt,static public,void(short)
A0000000620101,javacard.framework,4,CardException,public,method,0,equals,public,boolean(java.lang.object)
A0000000620101,javacard.framework,4,CardException,public,method,1,getReason,public,short()
A0000000620101,javacard.framework,4,CardException,public,method,2,setReason,public,void(short)
A0000000620101,javacard.framework,5,CardRuntimeException,public,method,0,<init>,public,void(short)
A0000000620101,javacard.framework,5,CardRuntimeException,public,method,1,throwIt,static public,void(short)
A0000000620101,javacard.framework,5,CardRuntimeException,public,method,0,equals,public,boolean(java.lang.object)
A0000000620101,javacard.framework,5,CardRuntimeException,public,method,1,getReason,public,short()
A0000000620101,javacard.framework,5,CardRuntimeException,public,method,2,setReason,public,void(short)
A0000000620101,javacard.framework,6,AID,public,method,0,<init>,public,void(byte[];short;byte)
A0000000620101,javacard.framework,6,AID,public,method,0,equals,public final,boolean(java.lang.object)
A0000000620101,javacard.framework,6,AID,public,method,1,RIDEquals,public final,boolean(javacard.framework.aid)
A0000000620101,javacard.framework,6,AID,public,method,2,equals,public final,boolean(byte[];short;byte)
A0000000620101,javacard.framework,6,AID,public,method,3,getBytes,public final,byte(byte[];short)
A0000000620101,javacard.framework,6,AID,public,method,4,partialEquals,public final,boolean(byte[];short;byte)
A0000000620101,javacard.framework,6,AID,public,method,5,getPartialBytes,public final,byte(short;byte[];short;byte)
A0000000620101,javacard.framework,7,ISOException,public,method,0,<init>,public,void(short)
A0000000620101,javacard.framework,7,ISOException,public,method,1,throwIt,static public,void(short)
A0000000620101,javacard.framework,7,ISOException,public,method,0,equals,public,boolean(java.lang.object)
A0000000620101,javacard.framework,7,ISOException,public,method,1,getReason,public,short()
A0000000620101,javacard.framework,7,ISOException,public,method,2,setReason,public,void(short)
A0000000620101,javacard.framework,8,JCSystem,public final,method,10,isTransient,static public,byte(java.lang.object)
